Change,Expected_amount,Expected_frequency,Edits,Frequency,Difference,Fold_difference,Species
SG,2,0.041666667,4518,0.069721146,-0.02805448,1.673307511,specific_squid
NS,2,0.041666667,3451,0.053255351,-0.011588684,1.278128424,specific_squid
syn,15,0.3125,22614,0.348976096,-0.036476096,1.116723507,specific_squid
KE,2,0.041666667,2886,0.04453635,-0.002869683,1.068872394,specific_squid
MV,1,0.020833333,1387,0.021403991,-0.000570657,1.027391553,specific_squid
RG,2,0.041666667,2706,0.041758615,-9.19E-05,1.002206756,specific_squid
ND,2,0.041666667,2678,0.041326523,0.000340144,0.991836546,specific_squid
YC,2,0.041666667,2622,0.040462339,0.001204328,0.971096125,specific_squid
IM,1,0.020833333,1252,0.019320689,0.001512644,0.927393096,specific_squid
QR,2,0.041666667,2372,0.036604373,0.005062293,0.878504961,specific_squid
IV,3,0.0625,2984,0.046048672,0.016451328,0.736778753,specific_squid
EG,2,0.041666667,1910,0.029474854,0.012191813,0.707396491,specific_squid
TA,4,0.083333333,3410,0.052622645,0.030710689,0.631471737,specific_squid
DG,2,0.041666667,782,0.012067715,0.029598952,0.28962516,specific_squid
HR,2,0.041666667,569,0.008780729,0.032885938,0.210737489,specific_squid
stop-W,2,0.041666667,13,0.000200614,0.041466052,0.004814741,specific_squid
KR,2,0.041666667,12722,0.131532966,-0.089866299,3.156791183,specific_oct_vul
SG,2,0.041666667,6870,0.071029042,-0.029362376,1.704697015,specific_oct_vul
NS,2,0.041666667,5197,0.053731868,-0.012065201,1.289564831,specific_oct_vul
KE,2,0.041666667,4652,0.048097104,-0.006430437,1.154330497,specific_oct_vul
syn,15,0.3125,33868,0.350161806,-0.037661806,1.120517778,specific_oct_vul
ND,2,0.041666667,4511,0.046639303,-0.004972636,1.119343266,specific_oct_vul
IM,1,0.020833333,2221,0.022962955,-0.002129622,1.102221855,specific_oct_vul
YC,2,0.041666667,4237,0.043806412,-0.002139746,1.051353894,specific_oct_vul
MV,1,0.020833333,1970,0.020367862,0.000465471,0.977657386,specific_oct_vul
RG,2,0.041666667,3692,0.038171648,0.003495018,0.91611956,specific_oct_vul
QR,2,0.041666667,3083,0.031875187,0.009791479,0.765004497,specific_oct_vul
IV,3,0.0625,4565,0.04719761,0.01530239,0.755161754,specific_oct_vul
TA,4,0.083333333,5101,0.052739322,0.030594011,0.632871869,specific_oct_vul
EG,2,0.041666667,2287,0.02364533,0.018021336,0.567487929,specific_oct_vul
DG,2,0.041666667,963,0.009956473,0.031710194,0.238955346,specific_oct_vul
HR,2,0.041666667,767,0.007930026,0.033736641,0.190320613,specific_oct_vul
stop-W,2,0.041666667,15,0.000155085,0.041511581,0.003722046,specific_oct_vul
